Date;Orang;Barang
2020-02-23;109760;18204
2020-02-24;112211;37373
2020-02-25;110035;37903
2020-02-26;113349;37977
2020-02-27;114169;38905
2020-02-28;118231;37505
2020-02-29;118333;28122
2020-03-01;119879;18891
2020-03-02;111604;38178
2020-03-03;105418;37307
2020-03-04;112816;39021
2020-03-05;113736;40146
2020-03-06;119670;39015
2020-03-07;120496;28470
2020-03-08;116870;18483
2020-03-09;112126;39256
2020-03-10;109620;40885
2020-03-11;111333;41224
2020-03-12;112181;40580
2020-03-13;116554;40098
2020-03-14;113684;29488
2020-03-15;109023;18988
2020-03-16;107056;37982
2020-03-17;102461;40573
2020-03-18;99883;40271
2020-03-19;97550;40423
2020-03-20;97011;38488
2020-03-21;83436;28967
2020-03-22;66707;18394
2020-03-23;87648;38520
2020-03-24;82928;38250
2020-03-25;53447;24087
2020-03-26;80357;41306
2020-03-27;80071;39677
2020-03-28;68637;29195
2020-03-29;58434;18505
2020-03-30;79328;36071
2020-03-31;75077;38319
2020-04-01;74664;37394
2020-04-02;73561;35882
2020-04-03;74660;34694
2020-04-04;60906;25123
2020-04-05;51244;17430
2020-04-06;77996;34724
2020-04-07;74573;36948
2020-04-08;75994;37969
2020-04-09;83734;37846
2020-04-10;41065;20254
2020-04-11;50535;22573
2020-04-12;46508;17241
2020-04-13;77292;36020
2020-04-14;74419;37792
2020-04-15;73702;38109
2020-04-16;74795;37678
2020-04-17;77037;36145
2020-04-18;55520;25223
2020-04-19;48133;19238
2020-04-20;76485;35097
2020-04-21;74394;34742
2020-04-22;84618;34895
2020-04-23;84217;31879
2020-04-24;52480;25999
2020-04-25;38011;20689
2020-04-26;32485;16323
2020-04-27;63802;31832
2020-04-28;60754;32544
2020-04-29;62843;32009
2020-04-30;66262;29667
2020-05-01;34332;15815
2020-05-02;43409;19741
2020-05-03;37210;13735
2020-05-04;69275;29406
2020-05-05;66404;32126
2020-05-06;68464;30322
2020-05-07;40558;19202
2020-05-08;67323;30014
2020-05-09;50101;22200
2020-05-10;39997;14868
2020-05-11;74313;32492
